,par_idparcela,Nomenclatura,Tipo_Parcela,Tipo_Valuacion,Estado,desig_oficial,exp_creacion,Fecha_Creacion,fecha_alta_parcela,fxf,vut_vigente,Valuacion,vigencia_desde,porcentaje_copropiedad,Superficie_Tierra_Urbana,Valuacion_Tierra_Urbana,base_imponible_tierra_urbana,Superficie_Tierra_Rural,Valuacion_Tierra_Rural,base_imponible_tierra_rural,Superficie_Mejoras,Valuacion_Mejoras,base_imponible_mejoras,Cantidad_Cuentas,departamento,pedania,localidad,par_entityid,row_number,Nro_Cuenta,ped_nomenclatura,type,coordinates
30,1202100-SANTIAGO,2305604701010010,URBANO,VAL. URBANO,BALDIO,011 002,,01-1901,03-2007,0.9,735.0,535831.0,2023-11-01T00:00:00Z,0.0,682.0,451143.0,0,0,0.0,0,0.0,84688.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542567,1004128,230531553735,2305,MultiPolygon,"[[[[4352015.72388164, 6517196.73734837], [4352018.16137026, 6517176.98740501], [4352052.78627149, 6517181.26863499], [4352050.31753296, 6517201.01857834], [4352015.72388164, 6517196.73734837]]]]"
31,1201453-SANTIAGO,2305414801090002,URBANO,VAL. URBANO,BALDIO,MZ J LT 1,0000-083220/6,01-1901,03-2007,0.9,420.0,507276.0,2023-11-01T00:00:00Z,0.0,1342.0,507276.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4492120,1003555,230508322068,2305,MultiPolygon,"[[[[4352951.53168075, 6510528.13081496], [4352975.71911459, 6510543.09951645], [4352954.68793244, 6510577.03692308], [4352921.81302236, 6510556.66198911], [4352943.3754559, 6510535.9745441], [4352951.53168075, 6510528.13081496]]]]"
32,1205288-SANTIAGO,2305604702039011,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 4 LT 1,00000544899,01-1901,03-2007,0.9,1085.0,4015814.86,2023-11-01T00:00:00Z,0.0,695.0,678667.5,0,0,0.0,0,383.0,3337147.36,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542831,1007047,230505448991,2305,MultiPolygon,"[[[[4353564.7507343, 6517487.79866595], [4353566.93822427, 6517470.76746479], [4353570.31321393, 6517467.95497221], [4353601.96937363, 6517471.95495372], [4353600.00063267, 6517487.36115953], [4353593.46940133, 6517486.64241304], [4353593.125653, 6517489.79865397], [4353594.96939773, 6517490.01740293], [4353594.71939879, 6517491.51739864], [4353585.5631749, 6517490.361154], [4353585.37567576, 6517491.76739996], [4353582.15693494, 6517491.36115183], [4353582.37568401, 6517489.98615577], [4353564.7507343, 6517487.79866595]]]]"
33,1204109-SANTIAGO,2305604701128012,URBANO,VAL. URBANO,BALDIO,LT 2,,01-1901,03-2007,0.6,840.0,779184.0,2023-11-01T00:00:00Z,0.0,1546.0,779184.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,2007355404,1005976,230516732216,2305,MultiPolygon,"[[[[4350867.69244618, 6518696.04112295], [4350883.36821638, 6518682.24032777], [4350947.13101559, 6518721.51904385], [4350935.75491338, 6518737.9684906], [4350867.69244618, 6518696.04112295]]]]"
34,1202399-SANTIAGO,2305604701026015,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ O   LT 18,00000444663,01-1901,03-2007,0.5,595.0,4450093.28,2023-11-01T00:00:00Z,0.0,2655.0,789862.5,0,0,0.0,0,235.0,3660230.78,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542263,1004391,230504446633,2305,MultiPolygon,"[[[[4351836.31803968, 6516705.70755953], [4351830.47430327, 6516691.05135324], [4351889.9116237, 6516652.80145086], [4351902.97408791, 6516661.02017419], [4351863.13046743, 6516728.01998903], [4351849.13050688, 6516724.11375343], [4351844.69302022, 6516726.67624699], [4351836.31803968, 6516705.70755953]]]]"
35,1202776-SANTIAGO,2305604701046020,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 7 LT 14 A,00001531224,01-1901,03-2007,0.8,840.0,1670813.12,2023-11-01T00:00:00Z,0.0,787.0,528864.0,0,0,0.0,0,268.0,1141949.12,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541931,1004727,230515312248,2305,MultiPolygon,"[[[[4351367.91306707, 6516384.89609161], [4351376.88179957, 6516422.39598109], [4351344.28814263, 6516418.95849825], [4351343.56939126, 6516403.45854328], [4351343.47564091, 6516400.70855125], [4351367.91306707, 6516384.89609161]]]]"
36,2454882-SANTIAGO,2305511349353971,RURAL,VAL. RURAL,EDIFICADO NoPH,Lote Rural Nueva 23-05-511349-353971,0576-006421/2015,01-2021,02-2020,,,1190058.38,2023-11-07T00:00:00Z,0.0,0.0,0.0,0,12783,24607.28,0,82.16,1165451.1,0,1,PUNILLA,SANTIAGO,,1187212604,1850437,230541150841,2305,MultiPolygon,"[[[[4353898.46, 6511432.72], [4353865.68, 6511382.44], [4354036.97, 6511270.77], [4354037.47, 6511271.08], [4354037.98, 6511271.35], [4354038.5, 6511271.6], [4354039.04, 6511271.81], [4354039.59, 6511271.99], [4354040.15, 6511272.14], [4354040.72, 6511272.26], [4354041.29, 6511272.35], [4354041.87, 6511272.4], [4354042.45, 6511272.42], [4354043.03, 6511272.4], [4354043.6, 6511272.35], [4354044.18, 6511272.27], [4354044.75, 6511272.15], [4354045.31, 6511272], [4354045.86, 6511271.82], [4354046.4, 6511271.61], [4354046.92, 6511271.37], [4354047.43, 6511271.09], [4354047.93, 6511270.79], [4354077.43, 6511316.05], [4353898.46, 6511432.72]]]]"
37,1202765-SANTIAGO,2305604701046007,URBANO,VAL. URBANO,BALDIO,MZ 7 LT 7,00000427136,01-1901,03-2007,0.6,840.0,777168.0,2023-11-01T00:00:00Z,0.0,1542.0,777168.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541957,1004716,230504271361,2305,MultiPolygon,"[[[[4351453.10033703, 6516453.3646246], [4351433.50664467, 6516458.92711282], [4351428.66290892, 6516460.30210991], [4351421.13167625, 6516440.67716839], [4351496.94395402, 6516422.70845363], [4351501.16269567, 6516439.77090332], [4351453.10033703, 6516453.3646246]]]]"
38,1202659-SANTIAGO,2305604701041005,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ Z-LTE 5,00001019128,01-1901,03-2007,0.9,910.0,2333286.8,2023-11-01T00:00:00Z,0.0,702.0,574938.0,0,0,0.0,0,130.0,1758348.8,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,768613602,1004625,230510191281,2305,MultiPolygon,"[[[[4351129.91381657, 6516674.92655482], [4351168.44495086, 6516653.3641087], [4351169.35119864, 6516655.11410344], [4351171.19494372, 6516656.83284805], [4351173.22618816, 6516658.1140939], [4351175.16368274, 6516658.89534121], [4351177.60117567, 6516658.64534138], [4351179.81991923, 6516658.39534161], [4351182.03866257, 6516657.14534474], [4351184.25740565, 6516654.80160104], [4351167.25746042, 6516680.989029], [4351133.07005814, 6516677.86404562], [4351129.91381657, 6516674.92655482]]]]"
39,1201208-SANTIAGO,2305414801047017,URBANO,VAL. URBANO,BALDIO,026 019,,01-1901,03-2007,1.0,140.0,84420.0,2023-11-01T00:00:00Z,0.0,603.0,84420.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,371184802,1003320,230531550434,2305,MultiPolygon,"[[[[4354614.65233756, 6512517.03095709], [4354597.65238641, 6512516.87471122], [4354597.9961276, 6512480.96856492], [4354614.99607897, 6512482.03105817], [4354614.65233756, 6512517.03095709]]]]"
